Time [s],Pressure [mbar],N injection,Time opening [ms],Mass [g]
1618829501.84094,380.75,14166,5,100.732
1618829504.55858,380.5625,14193,5,100.944
1618829507.22021,380.375,14220,5,101.119
1618829509.8706,380.25,14246,5,101.267
1618829512.51673,380.0625,14272,5,101.404
1618829515.17159,379.9375,14298,5,101.641
1618829517.8894,379.75,14326,5,101.775
1618829520.56574,379.5625,14352,5,102
1618829523.28242,379.4375,14378,5,102.164
1618829525.94312,379.25,14405,5,102.366
1618829531.23411,378.9375,14458,5,102.679
1618829533.89361,378.8125,14484,5,102.816
1618829536.54438,378.625,14510,5,103.054
1618829539.18792,378.375,14537,5,103.189
1618829541.83676,378.1875,14563,5,103.434
1618829544.48291,378.125,14588,5,103.569
1618829547.13242,377.9375,14615,5,103.737
1618829549.7847,377.75,14641,5,103.927
1618829552.50021,377.625,14668,5,104.129
1618829555.17321,377.4375,14694,5,104.268
1618829557.816,377.25,14721,5,104.405
1618829560.46503,377.125,14747,5,104.655
1618829563.11452,376.9375,14773,5,104.796
1618829568.40802,376.625,14826,5,105.106
1618829571.06098,376.4375,14852,5,105.343
1618829573.76448,376.3125,14878,5,105.484
1618829576.46052,376.125,14905,5,105.625
1618829579.18076,376,14932,5,105.878
1618829581.84389,375.8125,14959,5,106.041
1618829584.4983,375.625,14985,5,106.187
1618829587.21708,375.4375,15012,5,106.354
1618829589.89742,375.25,15039,5,106.575
1618829592.60235,375.125,15065,5,106.698
1618829597.91668,374.75,15118,5,107.092
1618829600.56511,374.625,15144,5,107.255
1618829603.22089,374.4375,15170,5,107.438
1618829605.86447,374.3125,15196,5,107.605
1618829608.52026,374.125,15223,5,107.795
1618829611.24475,374,15250,5,108.01
1618829613.90155,373.875,15276,5,108.151
1618829616.56387,373.625,15302,5,108.378
1618829619.27308,373.5,15329,5,108.512
1618829621.95214,373.3125,15356,5,108.652
1618829624.59627,373.125,15382,5,108.825
1618829627.24002,372.9375,15408,5,109.016
1618829629.8908,372.8125,15435,5,109.181
1618829632.54273,372.625,15461,5,109.377
1618829635.26186,372.5,15487,5,109.538
1618829637.93765,372.3125,15514,5,109.755
1618829640.64862,372.1875,15541,5,109.892
1618829645.97358,371.875,15593,5,110.232
1618829651.26242,371.5,15646,5,110.553
1618829656.55952,371.1875,15698,5,110.929
1618829659.21042,371.0625,15725,5,111.099
1618829664.49118,370.6875,15777,5,111.456
1618829667.16207,370.5625,15803,5,111.593
1618829669.86523,370.375,15830,5,111.813
1618829672.57218,370.25,15857,5,111.949
